23:12:05 t=0:49 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=move fwd blocked=0
23:12:06 t=0:50 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=3% dmg=0 | intent=farm | jev=- | act=move fwd blocked=0
23:12:07 t=0:51 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=7% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.25 fight=0.17 aggr=0.1 item=Doran's Blade [242 ms, 1321 tok] | act=move fwd blocked=0
23:12:08 t=0:52 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=11% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.26 fight=0.17 aggr=0.1 item=Doran's Blade [133 ms, 1321 tok] | act=move fwd blocked=0
23:12:09 t=0:53 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=15% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.23 fight=0.17 aggr=0.1 item=Doran's Blade [213 ms, 1321 tok] | act=move fwd blocked=0
23:12:10 t=0:54 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=19% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.23 fight=0.18 aggr=0.1 item=Doran's Blade [123 ms, 1321 tok] | act=move fwd blocked=0
23:12:11 t=0:55 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=22% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.24 fight=0.17 aggr=0.1 item=Doran's Blade [133 ms, 1321 tok] | act=move fwd blocked=0
23:12:12 t=0:56 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=26% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.24 fight=0.19 aggr=0.1 item=Doran's Blade [136 ms, 1321 tok] | act=move fwd blocked=0
23:12:13 t=0:57 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=30% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.28 fight=0.17 aggr=0.1 item=Doran's Blade [127 ms, 1321 tok] | act=move fwd blocked=0
23:12:14 t=0:58 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=34% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.23 fight=0.18 aggr=0.1 item=Doran's Blade [188 ms, 1321 tok] | act=move fwd blocked=0
23:12:15 t=0:59 L1 hp=100% gold=500 0/0/0 cs=0 | traveling lane=38% dmg=0 | intent=farm | jev=farm (p=0.99) danger=0.0 recall=0.21 fight=0.18 aggr=0.1 item=Doran's Blade [246 ms, 1321 tok] | act=move fwd blocked=0
