23:12:46 t=1:30 L1 hp=100% gold=552 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=move fwd blocked=3
23:12:47 t=1:31 L1 hp=100% gold=554 0/0/0 cs=0 | traveling lane=2% dmg=0 | intent=farm | jev=- | act=move fwd blocked=6
23:12:48 t=1:32 L1 hp=100% gold=556 0/0/0 cs=0 | traveling lane=4% dmg=0 | intent=farm | jev=farm (p=0.98) danger=0.0 recall=0.21 fight=0.20 aggr=0.1 item=Doran's Blade [380 ms, 1310 tok] | act=move fwd blocked=9
23:12:49 t=1:33 L1 hp=100% gold=558 0/0/0 cs=0 | traveling lane=6% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [143 ms, 1310 tok] | act=move fwd blocked=12
23:12:50 t=1:34 L1 hp=100% gold=560 0/0/0 cs=0 | traveling lane=8% dmg=0 | intent=farm | jev=farm (p=0.98) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [133 ms, 1310 tok] | act=move fwd blocked=15
23:12:51 t=1:35 L1 hp=100% gold=562 0/0/0 cs=0 | traveling lane=10% dmg=0 | intent=farm | jev=farm (p=0.98) danger=0.0 recall=0.24 fight=0.20 aggr=0.2 item=Doran's Blade [243 ms, 1310 tok] | act=move fwd blocked=18
23:12:52 t=1:36 L1 hp=100% gold=564 0/0/0 cs=0 | traveling lane=12% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.1 recall=0.27 fight=0.20 aggr=0.1 item=Doran's Blade [207 ms, 1310 tok] | act=move fwd blocked=21
23:12:53 t=1:37 L1 hp=100% gold=566 0/0/0 cs=0 | traveling lane=14% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.17 aggr=0.1 item=Doran's Blade [195 ms, 1310 tok] | act=move fwd blocked=24
23:12:54 t=1:38 L1 hp=100% gold=568 0/0/0 cs=0 | traveling lane=16% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.24 fight=0.17 aggr=0.1 item=Doran's Blade [184 ms, 1310 tok] | act=move fwd blocked=27
23:12:55 t=1:39 L1 hp=100% gold=570 0/0/0 cs=0 | traveling lane=18% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.27 fight=0.19 aggr=0.1 item=Doran's Blade [165 ms, 1310 tok] | act=move fwd blocked=30
23:12:56 t=1:40 L1 hp=100% gold=572 0/0/0 cs=0 | traveling lane=20% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [210 ms, 1310 tok] | act=move fwd blocked=33
