23:17:14 t=5:58 L1 hp=100% gold=1100 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=0
23:17:15 t=5:59 L1 hp=100% gold=1102 0/0/0 cs=0 | traveling lane=2% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=0
23:17:16 t=6:00 L1 hp=100% gold=1103 0/0/0 cs=0 | traveling lane=4% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.20 aggr=0.2 item=Doran's Blade [315 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:17 t=6:01 L1 hp=100% gold=1106 0/0/0 cs=0 | traveling lane=6% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.27 fight=0.20 aggr=0.2 item=Doran's Blade [146 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:18 t=6:02 L1 hp=100% gold=1108 0/0/0 cs=0 | traveling lane=8% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.27 fight=0.19 aggr=0.2 item=Doran's Blade [230 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:19 t=6:03 L1 hp=100% gold=1110 0/0/0 cs=0 | traveling lane=10% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.27 fight=0.19 aggr=0.2 item=Doran's Blade [167 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:20 t=6:04 L1 hp=100% gold=1112 0/0/0 cs=0 | traveling lane=12% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.26 fight=0.20 aggr=0.2 item=Doran's Blade [158 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:21 t=6:05 L1 hp=100% gold=1114 0/0/0 cs=0 | traveling lane=14% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [200 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:22 t=6:06 L1 hp=100% gold=1116 0/0/0 cs=0 | traveling lane=16% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.20 aggr=0.2 item=Doran's Blade [136 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=0
23:17:23 t=6:07 L1 hp=100% gold=1118 0/0/0 cs=0 | traveling lane=18% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.24 fight=0.20 aggr=0.2 item=Doran's Blade [115 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:24 t=6:08 L1 hp=100% gold=1120 0/0/0 cs=0 | traveling lane=20% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [131 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:25 t=6:09 L1 hp=100% gold=1122 0/0/0 cs=0 | traveling lane=22% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.23 fight=0.19 aggr=0.2 item=Doran's Blade [156 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:26 t=6:10 L1 hp=100% gold=1124 0/0/0 cs=0 | traveling lane=24% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.24 fight=0.18 aggr=0.1 item=Doran's Blade [124 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:27 t=6:11 L1 hp=100% gold=1126 0/0/0 cs=0 | traveling lane=26% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.21 fight=0.20 aggr=0.1 item=Doran's Blade [142 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:28 t=6:12 L1 hp=100% gold=1128 0/0/0 cs=0 | traveling lane=28% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.22 fight=0.19 aggr=0.2 item=Doran's Blade [110 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:29 t=6:13 L1 hp=100% gold=1130 0/0/0 cs=0 | traveling lane=29% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.0 recall=0.28 fight=0.18 aggr=0.1 item=Doran's Blade [170 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
23:17:30 t=6:14 L1 hp=100% gold=1132 0/0/0 cs=0 | traveling lane=31% dmg=0 | intent=farm | jev=farm (p=0.93) danger=0.1 recall=0.24 fight=0.20 aggr=0.1 item=Doran's Blade [248 ms, 1313 tok] | act=minimap move to 7400,7400 blocked=0
