23:15:52 t=4:37 L1 hp=100% gold=934 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=minimap move to 7400,7400 blocked=3
23:15:53 t=4:38 L1 hp=100% gold=936 0/0/0 cs=0 | traveling lane=2% dmg=0 | intent=farm | jev=- | act=level Q blocked=4
23:15:54 t=4:39 L1 hp=100% gold=938 0/0/0 cs=0 | traveling lane=4% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.30 fight=0.20 aggr=0.1 item=Doran's Blade [356 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=7
23:15:55 t=4:40 L1 hp=100% gold=940 0/0/0 cs=0 | traveling lane=6% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.29 fight=0.19 aggr=0.1 item=Doran's Blade [146 ms, 1308 tok] | act=level Q blocked=8
23:15:56 t=4:41 L1 hp=100% gold=942 0/0/0 cs=0 | traveling lane=8% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.27 fight=0.19 aggr=0.1 item=Doran's Blade [156 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=11
23:15:57 t=4:42 L1 hp=100% gold=944 0/0/0 cs=0 | traveling lane=10% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.1 recall=0.28 fight=0.19 aggr=0.1 item=Doran's Blade [136 ms, 1308 tok] | act=level Q blocked=12
23:15:59 t=4:43 L1 hp=100% gold=946 0/0/0 cs=0 | traveling lane=12% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.1 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [201 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=15
23:16:00 t=4:44 L1 hp=100% gold=948 0/0/0 cs=0 | traveling lane=14% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [172 ms, 1308 tok] | act=level Q blocked=16
23:16:01 t=4:45 L1 hp=100% gold=950 0/0/0 cs=0 | traveling lane=16% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.28 fight=0.18 aggr=0.1 item=Doran's Blade [118 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=19
23:16:02 t=4:46 L1 hp=100% gold=952 0/0/0 cs=0 | traveling lane=18% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.1 recall=0.28 fight=0.18 aggr=0.1 item=Doran's Blade [118 ms, 1308 tok] | act=level Q blocked=20
23:16:03 t=4:47 L1 hp=100% gold=954 0/0/0 cs=0 | traveling lane=20% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.1 recall=0.25 fight=0.17 aggr=0.1 item=Doran's Blade [217 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=23
23:16:04 t=4:48 L1 hp=100% gold=956 0/0/0 cs=0 | traveling lane=22% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.18 aggr=0.1 item=Doran's Blade [136 ms, 1308 tok] | act=level Q blocked=24
23:16:05 t=4:49 L1 hp=100% gold=958 0/0/0 cs=0 | traveling lane=24% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.18 aggr=0.1 item=Doran's Blade [136 ms, 1308 tok] | act=minimap move to 7400,7400 blocked=27
23:16:06 t=4:50 L1 hp=100% gold=960 0/0/0 cs=0 | traveling lane=27% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.27 fight=0.20 aggr=0.1 item=Doran's Blade [183 ms, 1308 tok] | act=level Q blocked=28
23:16:07 t=4:51 L1 hp=100% gold=962 0/0/0 cs=0 | traveling lane=29% dmg=0 | intent=farm | jev=farm (p=0.94) danger=0.0 recall=0.30 fight=0.20 aggr=0.1 item=Doran's Blade [145 ms, 1307 tok] | act=minimap move to 7400,7400 blocked=31
23:16:08 t=4:52 L1 hp=100% gold=964 0/0/0 cs=0 | traveling lane=31% dmg=0 | intent=farm | jev=farm (p=0.92) danger=0.0 recall=0.28 fight=0.19 aggr=0.1 item=Doran's Blade [164 ms, 1307 tok] | act=level Q blocked=32
23:16:09 t=4:53 L1 hp=100% gold=966 0/0/0 cs=0 | traveling lane=33% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.20 aggr=0.2 item=Doran's Blade [127 ms, 1307 tok] | act=minimap move to 7400,7400 blocked=35
23:16:10 t=4:54 L1 hp=100% gold=968 0/0/0 cs=0 | traveling lane=35% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [172 ms, 1307 tok] | act=level Q blocked=36
23:16:11 t=4:55 L1 hp=100% gold=970 0/0/0 cs=0 | traveling lane=37% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [172 ms, 1307 tok] | act=minimap move to 7400,7400 blocked=39
23:16:12 t=4:56 L1 hp=100% gold=972 0/0/0 cs=0 | traveling lane=39% dmg=0 | intent=farm | jev=farm (p=0.84) danger=0.0 recall=0.39 fight=0.21 aggr=0.1 item=Doran's Blade [162 ms, 1307 tok] | act=level Q blocked=40
23:16:13 t=4:57 L1 hp=100% gold=974 0/0/0 cs=0 | traveling lane=41% dmg=0 | intent=farm | jev=farm (p=0.86) danger=0.0 recall=0.41 fight=0.21 aggr=0.1 item=Doran's Blade [155 ms, 1307 tok] | act=minimap move to 7400,7400 blocked=43
23:16:14 t=4:58 L1 hp=100% gold=976 0/0/0 cs=0 | lane lane=43% dmg=0 | intent=farm | jev=farm (p=0.86) danger=0.0 recall=0.44 fight=0.23 aggr=0.2 item=Doran's Blade [177 ms, 1307 tok] | act=attack-move fwd blocked=52
