23:13:57 t=2:41 L1 hp=100% gold=698 0/0/0 cs=0 | traveling lane=0% dmg=0 | intent=farm | jev=- | act=move fwd blocked=3
23:13:58 t=2:42 L1 hp=100% gold=700 0/0/0 cs=0 | traveling lane=2% dmg=0 | intent=farm | jev=- | act=move fwd blocked=6
23:13:59 t=2:43 L1 hp=100% gold=702 0/0/0 cs=0 | traveling lane=4% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.1 recall=0.26 fight=0.18 aggr=0.1 item=Doran's Blade [264 ms, 1310 tok] | act=move fwd blocked=9
23:14:00 t=2:44 L1 hp=100% gold=704 0/0/0 cs=0 | traveling lane=6% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.25 fight=0.20 aggr=0.1 item=Doran's Blade [130 ms, 1310 tok] | act=move fwd blocked=12
23:14:01 t=2:45 L1 hp=100% gold=706 0/0/0 cs=0 | traveling lane=8% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.26 fight=0.20 aggr=0.1 item=Doran's Blade [180 ms, 1310 tok] | act=move fwd blocked=15
23:14:02 t=2:46 L1 hp=100% gold=708 0/0/0 cs=0 | traveling lane=10% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.24 fight=0.18 aggr=0.1 item=Doran's Blade [189 ms, 1310 tok] | act=move fwd blocked=18
23:14:03 t=2:47 L1 hp=100% gold=710 0/0/0 cs=0 | traveling lane=12% dmg=0 | intent=farm | jev=farm (p=0.98) danger=0.0 recall=0.23 fight=0.18 aggr=0.1 item=Doran's Blade [119 ms, 1310 tok] | act=move fwd blocked=21
23:14:04 t=2:48 L1 hp=100% gold=712 0/0/0 cs=0 | traveling lane=14% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.23 fight=0.20 aggr=0.1 item=Doran's Blade [153 ms, 1310 tok] | act=move fwd blocked=24
23:14:05 t=2:49 L1 hp=100% gold=714 0/0/0 cs=0 | traveling lane=16% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.27 fight=0.18 aggr=0.1 item=Doran's Blade [130 ms, 1310 tok] | act=move fwd blocked=27
23:14:06 t=2:50 L1 hp=100% gold=716 0/0/0 cs=0 | traveling lane=18% dmg=0 | intent=farm | jev=farm (p=0.97) danger=0.0 recall=0.25 fight=0.18 aggr=0.1 item=Doran's Blade [160 ms, 1310 tok] | act=move fwd blocked=30
23:14:07 t=2:51 L1 hp=100% gold=718 0/0/0 cs=0 | traveling lane=20% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.1 recall=0.27 fight=0.18 aggr=0.1 item=Doran's Blade [227 ms, 1310 tok] | act=move fwd blocked=33
23:14:08 t=2:52 L1 hp=100% gold=720 0/0/0 cs=0 | traveling lane=22% dmg=0 | intent=farm | jev=farm (p=0.95) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [141 ms, 1310 tok] | act=move fwd blocked=36
23:14:09 t=2:53 L1 hp=100% gold=722 0/0/0 cs=0 | traveling lane=24% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.23 fight=0.20 aggr=0.1 item=Doran's Blade [184 ms, 1310 tok] | act=move fwd blocked=39
23:14:10 t=2:54 L1 hp=100% gold=724 0/0/0 cs=0 | traveling lane=26% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.25 fight=0.19 aggr=0.1 item=Doran's Blade [155 ms, 1310 tok] | act=move fwd blocked=42
23:14:11 t=2:55 L1 hp=100% gold=726 0/0/0 cs=0 | traveling lane=29% dmg=0 | intent=farm | jev=farm (p=0.96) danger=0.0 recall=0.26 fight=0.19 aggr=0.1 item=Doran's Blade [134 ms, 1310 tok] | act=move fwd blocked=45
