05:36:21 t=0:00 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:22 t=0:01 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:23 t=0:02 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:25 t=0:03 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:26 t=0:05 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:27 t=0:06 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:28 t=0:07 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:29 t=0:08 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:30 t=0:09 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:31 t=0:10 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:32 t=0:12 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:34 t=0:13 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:35 t=0:14 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:36 t=0:15 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:37 t=0:16 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:38 t=0:17 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:39 t=0:18 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:40 t=0:19 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:42 t=0:21 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:43 t=0:22 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:44 t=0:23 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:45 t=0:24 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:46 t=0:25 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:47 t=0:26 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:49 t=0:27 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:50 t=0:29 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:51 t=0:30 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:52 t=0:31 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:53 t=0:32 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:54 t=0:33 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:56 t=0:34 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:57 t=0:36 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:58 t=0:37 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:36:59 t=0:38 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:37:00 t=0:39 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
05:37:01 t=0:40 L1 hp=100% gold=500 0/0/0 cs=0 | paused: game window not active lane=None% dmg=0 | intent=farm | jev=- | act= keys=n | 
